Impulsion,ImpulsionPAr,ImpulsionPAv,TravailPAr,TravailPAv
32760.089270448265,-3371.256142552355,36131.345413000614,6213.78737442204,20322.66873038281
33085.84646918085,-3356.955117778944,36442.80158695979,6267.618048057237,21495.17508412058
33414.48299473875,-3342.867478577785,36757.35047331652,6321.033377397303,22687.80386417208
33745.47444458991,-3329.253756196375,37074.72820078627,6372.874015691553,23896.445687838455
34076.68537042313,-3317.916421873026,37394.601792296155,6416.012328173207,25113.124326086334
34408.70127051645,-3308.47371566623,37717.17498618268,6451.6353494204695,26329.8027995787
34743.574772287204,-3298.7833984329523,38042.35817072015,6487.6992704770955,27540.44724452266
35079.83751355456,-3289.426138037233,38369.2636515918,6522.1444611847555,28743.300622071783
35416.29363972353,-3280.9797489842326,38697.273388707785,6553.099569794026,29945.428348905116
35753.5815600018,-3273.9637222550377,39027.54528225685,6578.9888133071,31165.99217047181
36091.15720488247,-3268.2818373677474,39359.43904225023,6600.42032711412,32417.745188923185
36429.503396587235,-3262.9184441377147,39692.421840724965,6621.186322550204,33708.30074117187
36768.75593378493,-3259.5280711538176,40028.28400493877,6634.6126773146325,35047.18973809179
37107.9809881657,-3259.1371409874578,40367.11812915317,6636.141560352074,36433.67465405333
37449.36142593141,-3259.697481135198,40709.058907066625,6633.814343545711,37866.48657486679
37793.01093200493,-3261.23034930302,41054.241281307965,6627.197436091973,39343.44684745814
38135.9304937506,-3265.249002880124,41401.179496630735,6609.678345832436,40853.02872535204
38477.03298567685,-3271.7376837513457,41748.77066942822,6581.096986480642,42382.71346797213
38817.812078283685,-3279.930055835237,42097.74213411893,6544.786897679771,43929.2704647823
39159.32839130489,-3289.581279289958,42448.90967059486,6501.708324582795,45496.00763837208
39499.5123906192,-3301.2745080215004,42800.78689864072,6448.962705192477,47082.44395367498
39837.94568295643,-3314.892331691971,43152.83801464842,6386.569097252616,48694.39658115158
40176.56361653601,-3329.2712881799957,43505.83490471603,6319.506990900438,50341.06309309135
40516.96841255395,-3343.667144070482,43860.635556624446,6251.095514343923,52026.89924711527
40857.743336809915,-3359.0622291365144,44216.805565946466,6176.864760798232,53743.78979508206
41196.68381544666,-3376.0588499868236,44572.742665433514,6094.2295881544405,55474.06443939482
41534.89383266062,-3394.724423931125,44929.61825659177,6003.216781820273,57214.153383863275
41875.216331352014,-3414.3252546834833,45289.54158603553,5907.602481341142,58969.88570954812
42214.649967673664,-3435.4158636840143,45650.06583135769,5804.4615982885425,60732.710400381824
42550.55082801017,-3457.667623168497,46008.21845117869,5694.743303781546,62498.72846310517
42885.327666214514,-3479.7198072854826,46365.04747350002,5584.351417185239,64285.00278229594
43221.39471971747,-3501.025336760268,46722.420056477764,5475.70734346643,66108.00858955413
43558.62687762666,-3520.700652025404,47079.32752965208,5373.483553458022,67963.0460102143
43895.56128900928,-3540.183383526497,47435.7446725358,5270.534348218646,69845.92219825428
44233.47998295796,-3559.3050937530793,47792.785076711065,5168.151608561754,71758.31455601666
44571.57181098485,-3576.496331843393,48148.06814282827,5074.737110930555,73689.58098933706
44907.69137291628,-3592.9877646048826,48500.67913752119,4983.368023122284,75642.93364727679
45243.74990406483,-3609.088493615965,48852.83839768082,4892.287475687229,77635.81788473814
45581.20264288723,-3623.2421541773106,49204.44479706456,4810.791346122411,79661.81109670349
45919.5157654343,-3636.950456487656,49556.46622192198,4730.922360773493,81712.35160817418
46257.02618002057,-3650.5262825639,49907.552462584485,4651.530465904632,83765.61648743512
46594.14717257378,-3660.64756907252,50254.79474164632,4592.239320864896,85800.38843555242
46931.892667978136,-3669.076502332096,50600.96917031025,4542.513274045015,87841.8174131824
47269.54218828499,-3677.407385041178,50946.949573326194,4492.687654911376,89912.94258249855
47609.058117029665,-3680.393096109144,51289.451213138826,4474.775998823479,92013.52910423905
47950.245079329856,-3680.6926391804295,51630.937718510286,4472.679447177161,94174.70552561073
48289.598601967096,-3682.4296336812126,51972.02823564833,4461.3663228579435,96405.41165449293
48625.75275596499,-3679.982070094226,52305.734826059226,4478.162383926359,98651.54767821742
48961.689010546994,-3675.7532296871204,52637.44224023412,4507.10612951537,100929.6553256926
49297.19975741153,-3671.6865621733973,52968.88631958493,4535.2774565698355,103224.6386219316
49629.59677700191,-3664.351191375285,53293.9479683772,4585.836685377997,105467.3507526483
49962.3459251318,-3657.296493463711,53619.64241859551,4633.964599389528,107684.2200479118
50293.687505927715,-3650.10520652941,53943.79271245712,4681.816525955711,109847.8900753751
