alphaGait,DeplacementRider,DistanceAligne,DistanceEngage,DistanceFWGait,DistanceFWRButte,ForcePied,ForcePiedAr,ForcePiedAr,ForcePiedAr,ForcePiedAv,ForcePiedAv,ForcePiedAv,ForceUPiedAr,ForceUPiedAv,IndiceEfficacitePiedAr,IndiceEfficacitePiedAv,IndiceEfficaciteTotal,Moment,MomentPAr,MomentPAv,Puissance,PuissancePAr,PuissancePAv,ThetaM,ThetaMDeg,ThetaMr,ThetaMrDeg,ThetaMrv,Time,VitesseRider
0.01317396705930846+0i,-0.6411833296369309,,,,,833.308739996457,-34.676456393253076,-344.1346720607765,37.83905060157142,-80.03525339029964,478.57041667338564,12.10705039004664,-344.1346720607765,478.57041667338564,-0.9890604890992082,0.985995470512834,0.1613276546375605,23.862344668738107,-61.08390429078783,84.94624895952596,0.1083943465030264,-0.2774727286597147,0.3858670751627412,4.456572154262291,255.3427755347546,-8.10979846009688,-460.9403494837182,0.0045424851584275824,16.00333333333333,0.7130554899588946
0.02370421877885+0i,-0.6553676887742483,,,,,829.8001577390596,-32.4500708963536,-350.15416621732317,36.04307188911444,-82.80248098011616,468.6173856721547,20.156864324470288,-350.15416621732317,468.6173856721547,-0.9905438421296784,0.9838634669079159,0.1427611435717318,21.0272214532326,-62.15236450357485,83.17958595680746,0.27900793106414,-0.8246930137419942,1.1037009448061341,4.456329389337703,255.3288661291618,-8.110041225021469,-460.9542588893109,0.01326889202573395,16.00666666666667,0.7371097520467513
0.01711270621001235+0i,-0.6633273647989313,,,,,842.880881683119,-35.18988418380301,-356.397560712658,37.59665997867413,-78.81355546982391,475.87592924217967,20.22818332415078,-356.397560712658,475.87592924217967,-0.9897219352528628,0.9856948451108388,0.1417500042128603,21.20741041399008,-63.26056702649681,84.46797744048688,0.4807942709850749,-1.4341835052875043,1.9149777762725781,4.4564783561379215,255.337401298102,-8.109892258221251,-460.9457237203708,0.02267105042999051,16.01,0.3105778139563879
0.01264979886538432+0i,-0.6134131199366948,,,,,840.4999813362942,-40.77288882172193,-353.46154000150085,36.93940849384019,-78.77790716229137,475.89143478390037,20.000989999210397,-353.46154000150085,475.89143478390037,-0.9881016875378564,0.9857269621640572,0.1456631737073339,21.731306323875923,-62.7394233502664,84.47072967414232,0.6460256617848532,-1.865110034610515,2.5111356963953684,4.456553065459975,255.34168182694592,-8.109817548899198,-460.94144319152684,0.029727879776609317,16.013333333333332,-0.513408166870624
0.01115761479422743+0i,-0.6460618845571844,,,,,837.1814293044704,-31.431169803519,-352.56607548388916,35.18917607051366,-77.32810296088006,475.01748282965264,13.93786999518557,-352.56607548388916,475.01748282965264,-0.9911637839193812,0.9865937280706166,0.1462662728286938,21.73512480387302,-62.58047839839032,84.31560320226333,0.7098606944053246,-2.043854003736058,2.7537146981413816,4.457117716206622,255.3740339316277,-8.109252898152551,-460.9090910868451,0.032659609770394935,16.01666666666667,-1.515812256804393
0.008161310401383582+0i,-0.6729455403384463,,,,,832.1267022737115,-37.25420661641407,-349.6330927337095,34.29493290660298,-79.84114121310877,471.82928115610963,17.20254553097233,-349.6330927337095,471.82928115610963,-0.9896747879598512,0.9853467908037754,0.1468480558171129,21.68982344497602,-62.05987396023343,83.74969740520946,0.6970509224617,-1.9944326656959268,2.691483588157627,4.456851593151124,255.3587862037165,-8.109519021208047,-460.9243388147563,0.032137233584681714,16.02,-2.417529805881933
0.01720593422400564+0i,-0.6620207285922106,,,,,832.5184572850802,-32.14261790244036,-350.0783945259159,36.01376561573026,-77.39900744914864,472.4071318998879,20.106122841924353,-350.0783945259159,472.4071318998879,-0.9906269348254731,0.9859733089511632,0.1469381685216892,21.71335088388001,-62.13891502835007,83.85226591223008,0.6304056734450126,-1.804084721196638,2.4344903946416507,4.456814525957809,255.3566624099812,-8.109556088401362,-460.9264626084916,0.029033090139625836,16.02333333333333,-3.093171057740556
0.01238591862467429+0i,-0.678495188899376,,,,,831.4371375864341,-32.02200731680535,-350.0889786424577,36.01832302833107,-78.20937414381704,471.31165431339537,16.64235254563583,-350.0889786424577,471.31165431339537,-0.9906568850054656,0.9859119650609316,0.145798966862165,21.517024931591465,-62.14079370903622,83.6578186406277,0.47335409096079206,-1.367038380595833,1.840392471556625,4.4569826623771975,255.36629591719452,-8.109387951981976,-460.9168291012783,0.02199904923964697,16.02666666666667,-3.526682075713663
0.01043581485145063+0i,-0.6935039503418068,,,,,835.1159886998273,-36.856793404111684,-352.2698344856971,38.4175629645185,-81.35597689876532,471.5658746468913,17.3273440148174,-352.2698344856971,471.5658746468913,-0.9887718784045098,0.9847967046414688,0.1428496661247301,21.17504712861197,-62.52789562121124,83.70294274982321,0.1926293112688033,-0.5688159934400616,0.761445304708865,4.457288942183962,255.38384445747218,-8.109081672175211,-460.8992805610005,0.009096995633531332,16.03,-3.6825756755084598
0.01158026624885517+0i,-0.7061355913244256,,,,,834.0889837981854,-35.073336072313765,-353.19057896123263,33.688233981313516,-79.56700445580641,470.7586268990277,11.167541907842939,-353.19057896123263,470.7586268990277,-0.9906531093016756,0.9857456425695534,0.1409538433206806,20.86832850895863,-62.691327765618794,83.5596562745774,-0.1801747825978983,0.5412698168947704,-0.7214445994926687,4.457585077247058,255.4008117467534,-8.108785537112116,-460.8823132717193,-0.008633886634502163,16.03333333333333,-3.524615441256509
